title,price,brand,Category
iPad Air 2 64GB WiFi,249.00,Apple,Tablets
iPad Air 2 16GB WiFi,219.00,Apple,Tablets
"iPad Pro 9.7"" 32GB WiFi",339.00,Apple,Tablets
iPad 5 32GB WiFi,249.00,Apple,Tablets
"iPad Pro 9.7"" 32GB WiFi + 4G LTE (Unlocked)",379.00,Apple,Tablets
iPad Air 32GB WiFi,179.00,Apple,Tablets
iPad Mini 2 16GB WiFi + 4G LTE (AT&T),139.00,Apple,Tablets
iPad Air 32GB WiFi + 4G LTE (AT&T),189.00,Apple,Tablets
"iPad Pro 9.7"" 128GB WiFi + 4G LTE (Unlocked)",409.00,Apple,Tablets
iPad Air 2 16GB WiFi + 4G LTE (Unlocked),229.00,Apple,Tablets
iPad Air 16GB WiFi + 4G LTE (Verizon),169.00,Apple,Tablets
iPad Air 2 64GB WiFi + 4G LTE (Unlocked),259.00,Apple,Tablets
iPad Air 16GB WiFi,159.00,Apple,Tablets
"iPad Pro 10.5"" 256GB WiFi + 4G LTE (Unlocked)",679.00,Apple,Tablets
iPad Air 16GB WiFi + 4G LTE (AT&T),169.00,Apple,Tablets
"iPad Pro 10.5"" 256GB WiFi",609.00,Apple,Tablets
iPad Air 32GB WiFi + 4G LTE (Verizon),189.00,Apple,Tablets
iPad 4 16GB WiFi,119.00,Apple,Tablets
"iPad Pro 10.5"" 512GB WiFi",729.00,Apple,Tablets
iPad 3 64GB WiFi + 4G LTE (AT&T),139.00,Apple,Tablets
iPad 3 32GB WiFi + 4G LTE (AT&T),129.00,Apple,Tablets
"iPad Pro 10.5"" 64GB WiFi",529.00,Apple,Tablets
iPad 3 32GB WiFi + 4G LTE (Verizon),129.00,Apple,Tablets
iPad 4 32GB WiFi + 4G LTE (AT&T),169.00,Apple,Tablets
iPad 3 64GB WiFi + 4G LTE (Verizon),139.00,Apple,Tablets
"iPad Pro 12.9"" 128GB WiFi + 4G LTE (Unlocked)",529.00,Apple,Tablets
iPad 4 32GB WiFi + 4G LTE (Verizon),169.00,Apple,Tablets
iPad 3 16GB WiFi + 4G LTE (AT&T),119.00,Apple,Tablets
iPad 4 16GB WiFi + 4G LTE (Verizon),139.00,Apple,Tablets
iPad 6 32GB WiFi + 4G LTE (Unlocked),399.00,Apple,Tablets
"iPad Pro 10.5"" 64GB WiFi + 4G LTE (Unlocked)",589.00,Apple,Tablets
iPad Air 64GB WiFi + 4G LTE (AT&T),199.00,Apple,Tablets
iPad 3 16GB WiFi + 4G LTE (Verizon),119.00,Apple,Tablets
"iPad Pro 12.9"" 2nd Gen 512GB WiFi + 4G LTE (Unlocked)",989.00,Apple,Tablets
iPad Air 64GB WiFi + 4G LTE (Verizon),199.00,Apple,Tablets
iPad 4 64GB WiFi + 4G LTE (AT&T),189.00,Apple,Tablets